player,mins_played,goals,expected_goals,total_scoring_att,ontarget_scoring_att,accurate_pass_per_match_hub,goal_assist,accurate_pass,accurate_cross,corner_taken,total_att_assist,aerial_duel,aerial_duel_per,fouls,was_fouled,total_offside,yellow_card,total_red_card,club,side,match_id
G. Dorsey,84,0,0,0,0,88.9,0,16,0,0,0,2,100,1,1,0,0,0,ORL,home,97641fa7
I. Angulo,90,0,0.38,1,0,87.1,1,27,0,1,3,0,0,2,1,0,0,0,ORL,home,97641fa7
B. Ojeda,90,0,0.08,1,0,88.9,0,32,0,0,3,0,0,1,4,0,0,0,ORL,home,97641fa7
E. Atuesta,61,0,0,0,0,77.3,0,17,0,0,0,0,0,1,0,0,1,0,ORL,home,97641fa7
Z. Taifi,29,0,0.08,1,1,25,0,2,0,0,0,1,100,1,1,0,0,0,ORL,home,97641fa7
N. Miller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ORL,home,97641fa7
T. Reid-Brown,6,0,0,0,0,50,0,2,0,0,0,0,0,0,0,0,0,0,ORL,home,97641fa7
M. Ojeda,84,1,0.35,2,2,62.5,0,15,3,3,4,0,0,0,1,0,0,0,ORL,home,97641fa7
D. McGuire,61,1,1.06,3,2,62.5,0,10,0,0,0,0,0,0,1,0,0,0,ORL,home,97641fa7
T. Spicer,19,0,0.48,2,1,20,0,1,0,0,0,2,100,0,0,0,0,0,ORL,home,97641fa7
D. Brekalo,90,0,0.1,1,0,87.5,0,28,0,0,0,2,66.67,1,0,0,0,0,ORL,home,97641fa7
Y. Tsukada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ORL,home,97641fa7
C. Guske,29,0,0.02,1,0,75,0,6,0,0,0,0,0,1,1,0,0,0,ORL,home,97641fa7
M. Pašalić,71,0,0.24,4,0,91.7,1,22,0,0,0,1,25,0,1,0,0,0,ORL,home,97641fa7
T. Himes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ORL,home,97641fa7
I. da Silva Nogueira,90,0,0,0,0,94.1,0,32,0,0,0,4,57.14,1,0,0,0,0,ORL,home,97641fa7
A. Marín,90,0,0,0,0,54.5,0,12,0,0,0,1,100,3,0,0,0,0,ORL,home,97641fa7
L. Otávio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ORL,home,97641fa7
P. Leão,6,0,0,0,0,50,0,1,0,0,0,0,0,0,2,0,0,0,ORL,home,97641fa7
S. Breza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,away,97641fa7
S. Piette,33,0,0,0,0,92,0,23,1,0,3,2,100,1,0,0,0,0,MTL,away,97641fa7
D. Ríos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,away,97641fa7
J. Neal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,away,97641fa7
W. Carmona,90,0,0.13,2,1,86.1,1,31,1,6,4,2,50,0,2,0,0,0,MTL,away,97641fa7
B. Hidalgo,45,0,0.02,1,0,85.4,0,41,0,0,0,1,50,0,2,0,0,0,MTL,away,97641fa7
L. Petrasso,90,0,0.26,2,0,91.1,0,41,0,0,2,0,0,1,0,0,0,0,MTL,away,97641fa7
E. Morales,83,0,0.06,2,1,96.9,0,63,0,0,1,3,75,2,0,0,0,0,MTL,away,97641fa7
D. Thórhallsson,57,0,0,0,0,92.3,0,12,1,1,0,1,100,0,1,0,0,0,MTL,away,97641fa7
B. Vera,45,0,0,0,0,89.7,0,26,0,0,0,0,0,3,0,0,0,0,MTL,away,97641fa7
O. Escobar,7,0,0.03,1,1,80,0,4,0,0,1,0,0,1,0,0,0,0,MTL,away,97641fa7
T. Avilés,90,0,0.06,1,0,87.4,0,83,0,0,0,3,100,2,0,0,0,0,MTL,away,97641fa7
P. Owusu,90,1,0.25,2,1,80,0,12,0,0,0,2,33.33,3,2,1,0,0,MTL,away,97641fa7
M. Longstaff,57,0,0,0,0,92.6,0,50,0,0,1,1,100,0,0,0,0,0,MTL,away,97641fa7
H. Synchuk,76,0,0.08,2,0,81.1,0,30,0,0,0,1,100,1,4,1,0,0,MTL,away,97641fa7
V. Loturi,90,0,0,0,0,92.6,0,50,0,0,2,1,100,1,1,0,0,0,MTL,away,97641fa7
A. Guboglo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,away,97641fa7
I. Jaime,33,0,0.56,7,1,66.7,0,12,1,3,2,0,0,0,0,0,1,0,MTL,away,97641fa7
N. Streit,14,0,0,0,0,75,0,6,0,0,0,0,0,0,0,0,0,0,MTL,away,97641fa7
